,,,,,,,,,
NRA Layout Report Date:,2024/1/25,,,"TARGET DELIVERY DATE:  January 30, 2024",,,,,
,,,,,,,,,
"This spreadsheet and the accompanying instructions do not constitute, and should not be considered a substitute for, legal advice.  The rules governing the proper tax characterization of distributions by mutual funds can be complex.  Each fund should consult its own tax advisor regarding the proper tax characterization and reporting of the fund¡¯s distributions.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note: no requirement to skip rows between entries or list in CUSIP order,,,,,,,,,
1,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Security Description (Fund Name),CUSIP,Ticker Symbol,Reclass (R),Corrected (C),Payable Date,NRA Exempt Income Div (Attributed to Interest Income),NRA Exempt Short-Term Capital Gain,FIRPTA Eligible Short-Term Capital Gain,FIRPTA Eligible Long-Term Capital Gain
Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,,,2023/3/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,,,2023/6/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,,,2023/9/21, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,,,2023/12/21, $-       , $-       , $-       , $-       
TOTALS,921931101,VBINX,,,, $-       , $-       , $-       , $-       
,,,,,,  ,  ,  ,  
Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,,,2023/3/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,,,2023/6/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,,,2023/9/21, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,,,2023/12/21, $-       , $-       , $-       , $-       
TOTALS,921931200,VBIAX,,,, $-       , $-       , $-       , $-       
,,,,,,  ,  ,  ,  
Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,,,2023/3/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,,,2023/6/23, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,,,2023/9/21, $-       , $-       , $-       , $-       
Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,,,2023/12/21, $-       , $-       , $-       , $-       
TOTALS,921931309,VBAIX,,,, $-       , $-       , $-       , $-       
,,,,,,  ,  ,  ,  
Vanguard Value Index Fund Investor Shares,922908405,VIVAX,,,2023/3/23, $-       , $-       , $-       , $-       
Vanguard Value Index Fund Investor Shares,922908405,VIVAX,,,2023/6/23, $-       , $-       , $-       , $-       
